question,question_type,question_number,year,file_name
"Analyze the factors that contributed to the emergence of a workers’ opposition movement in communist Poland in the period 1956–1981. Historical Background: After the Second World War, Poland became part of the Soviet bloc and the Polish communist party had a virtual monopoly on power.",DBQ,1,2014,ap14_frq_Euro_History.txt
Analyze the differences in the approaches to church-state relations advocated by various Protestant groups in the 1500s.,LEQ,2,2014,ap14_frq_Euro_History.txt
Analyze the similarities in the methods that various absolute monarchs used in the 1600s and 1700s to consolidate and increase their power.,LEQ,3,2014,ap14_frq_Euro_History.txt
Analyze the differences in the ideas held by various Enlightenment figures concerning the roles of women in European society. EUROPEAN HISTORY I,LEQ,4,2014,ap14_frq_Euro_History.txt
Analyze major factors that caused people to move from the countryside to cities in Europe during the 1800s.,LEQ,5,2014,ap14_frq_Euro_History.txt
Analyze how warfare and the rise of totalitarian regimes affected the development of the arts in Europe during the first half of the 1900s.,LEQ,6,2014,ap14_frq_Euro_History.txt
Analyze major factors that affected the changing balance of power among European states in the period 1848–1914.,LEQ,7,2014,ap14_frq_Euro_History.txt
Explain the reasons for the adoption of a new calendar in revolutionary France and analyze reactions to it in the period 1789 to 1806.,DBQ,1,2008,ap08_euro_hist_form_b_frq.txt
Contrast late-nineteenth-century European attitudes and policies about race to those after 1950.,LEQ,2,2008,ap08_euro_hist_form_b_frq.txt
Analyze the ways in which TWO of the following groups challenged British liberalism between 1880 and 1914. Feminists Irish nationalists Socialists,LEQ,3,2008,ap08_euro_hist_form_b_frq.txt
"Analyze the similarities and differences in the methods used by Cavour and Bismarck to bring about the unification of Italy and of Germany, respectively.",LEQ,4,2008,ap08_euro_hist_form_b_frq.txt
Analyze the reasons for the decline of the Holy Roman Empire as a force in European politics in the period 1517 to 1648.,LEQ,5,2008,ap08_euro_hist_form_b_frq.txt
Analyze the impact of TWO cultural and/or technological developments on European education in the period 1450 to 1650.,LEQ,6,2008,ap08_euro_hist_form_b_frq.txt
Compare and contrast the political ideas of Hobbes and Locke.,LEQ,7,2008,ap08_euro_hist_form_b_frq.txt
Analyze the ways in which national and cultural identity in Alsace-Lorraine were perceived and promoted during the period from 1870 to 1919.,DBQ,1,2006,_ap06_frq_euro_histor_51760.txt
How and to what extent did the Commercial Revolution transform the European economy and diplomatic balance of power in the period from 1650 to 1763 ?,LEQ,2,2006,_ap06_frq_euro_histor_51760.txt
Describe and analyze economic policies in Eastern and Western Europe after 1945.,LEQ,3,2006,_ap06_frq_euro_histor_51760.txt
Analyze anti-Semitism in Europe from the Dreyfus affair in the 1890’s to 1939.,LEQ,4,2006,_ap06_frq_euro_histor_51760.txt
How and to what extent did the methods and ideals of Renaissance humanism contribute to the Protestant Reformation?,LEQ,5,2006,_ap06_frq_euro_histor_51760.txt
Analyze the intellectual foundations of religious toleration in eighteenth-century Europe.,LEQ,6,2006,_ap06_frq_euro_histor_51760.txt
Discuss how the two structures shown above reflect the societies and cultures that produced them. THIS SPACE MAY BE USED FOR PLANNING YOUR ANSWER.,LEQ,7,2006,_ap06_frq_euro_histor_51760.txt
Analyze the causes of and responses to the 1968 crisis in France.,DBQ,1,2009,ap09_frq_european_history_formb.txt
Evaluate the changes and continuities in women’s public roles during the Renaissance.,LEQ,2,2009,ap09_frq_european_history_formb.txt
Analyze the impacts of the Protestant Reformation and the Catholic Reformation (Counter Reformation) on the social order of sixteenth-century Europe.,LEQ,3,2009,ap09_frq_european_history_formb.txt
Analyze the impact of the major developments of the Commercial Revolution on Europe’s economy and society in the period 1650 to 1789.,LEQ,4,2009,ap09_frq_european_history_formb.txt
Analyze artistic and literary responses to industrialization over the course of the nineteenth century.,LEQ,5,2009,ap09_frq_european_history_formb.txt
Compare and contrast the crises in state authority that precipitated the French Revolution in 1789 and the February and October Revolutions in Russia in 1917.,LEQ,6,2009,ap09_frq_european_history_formb.txt
Analyze the effects of nationalism on the Austrian Empire in the period 1815 to 1914.,LEQ,7,2009,ap09_frq_european_history_formb.txt
Analyze the factors that contributed to the instability of the Weimar Republic in the period 1918–1933.,DBQ,1,2010,ap10_frq_euro_history.txt
Analyze the ways in which European monarchs used both the arts and the sciences to enhance state power in the period circa 1500–1800.,LEQ,2,2010,ap10_frq_euro_history.txt
Analyze the various Protestant views of the relationship between church and state in the period circa 1500–1700.,LEQ,3,2010,ap10_frq_euro_history.txt
Analyze the various effects of the expansion of the Atlantic trade on the economy of Western Europe in the period circa 1450–1700.,LEQ,4,2010,ap10_frq_euro_history.txt
Compare and contrast how TWO of the following states attempted to hold together their empires in the period circa 1850 to 1914. Austria-Hungary Russia Ottoman Empire,LEQ,5,2010,ap10_frq_euro_history.txt
Compare and contrast the goals and achievements of the feminist movement in the period circa 1850–1920 with those of the feminist movement in the period 1945 to the present.,LEQ,6,2010,ap10_frq_euro_history.txt
"Analyze the ways in which the theories of both Darwin and Freud challenged traditional European ways of thinking about religion, morality, and human behavior in the period circa 1850–1950.",LEQ,7,2010,ap10_frq_euro_history.txt
Analyze various views regarding Western European unity from 1946 to 1989.,DBQ,1,2005,_ap05_frq_euro_histor_45551.txt
Analyze how economic and social developments affected women in England in the period from 1700 to 1850.,LEQ,2,2005,_ap05_frq_euro_histor_45551.txt
"Using examples from at least two different states, analyze the key features of the “new monarchies” and the factors responsible for their rise in the period 1450 to 1550.",LEQ,3,2005,_ap05_frq_euro_histor_45551.txt
Compare and contrast the motives and actions of Martin Luther in the German states and King Henry VIII in England in bringing about religious change during the Reformation.,LEQ,4,2005,_ap05_frq_euro_histor_45551.txt
Historians speak of the rise of mass politics in the period from 1880 to 1914. Define this phenomenon and analyze its effects on European politics in this period.,LEQ,5,2005,_ap05_frq_euro_histor_45551.txt
Assess the extent to which the economic and political ideals of Karl Marx were realized in postrevolutionary Russia in the period from 1917 to 1939.,LEQ,6,2005,_ap05_frq_euro_histor_45551.txt
"Analyze the economic, technological, and institutional factors responsible for western Europe’s domination of world trade from 1650 to 1800.",LEQ,7,2005,_ap05_frq_euro_histor_45551.txt
"Analyze how political, religious, and social factors affected the work of scientists in the sixteenth and seventeenth centuries.",DBQ,1,2005,_ap05_frq_euro_histor_45552.txt
Account for the growth and decline of European witch hunts in the period 1500 to 1650.,LEQ,2,2005,_ap05_frq_euro_histor_45552.txt
Compare and contrast Enlightenment and Romantic views of the relationship between God and the individual.,LEQ,3,2005,_ap05_frq_euro_histor_45552.txt
Discuss the impact of industrialization and urbanization on working-class families from 1750 to 1900.,LEQ,4,2005,_ap05_frq_euro_histor_45552.txt
Discuss the economic policies and institutions that characterized mercantilist systems from 1600 to 1800.,LEQ,5,2005,_ap05_frq_euro_histor_45552.txt
Compare and contrast the victorious Allied powers’ treatment of Germany after the First World War with their treatment of Germany after the Second World War. Analyze the reasons for the similarities and differences.,LEQ,6,2005,_ap05_frq_euro_histor_45552.txt
Analyze the factors responsible for decolonization since the Second World War.,LEQ,7,2005,_ap05_frq_euro_histor_45552.txt
"Analyze changing conceptions of French national identity and culture in the period since 1960. Historical background: In the wake of the Second World War, France became increasingly integrated into the global economy. Beginning in the 1960s, France also experienced growing rates of immigration, mostly from former French colonies.",DBQ,1,2015,ap15_frq_european_history.txt
Analyze the ways in which Napoleon Bonaparte both supported and undermined themain goals of the French Revolution during his rule of France (1799–1815).,LEQ,2,2015,ap15_frq_european_history.txt
Analyze the ways in which the development of the Soviet Union in the 1920s and1930s both reflected and departed from the ideas of Marxism.,LEQ,3,2015,ap15_frq_european_history.txt
Analyze the ways in which the formation of overseas colonial empires bothbenefited and harmed the interests of European states in the period 1850 to 1914. EUROPEAN HISTORY I,LEQ,4,2015,ap15_frq_european_history.txt
Analyze the ways in which the expansion of the market economy and new financialpractices affected European society in the period 1450 to 1750.,LEQ,5,2015,ap15_frq_european_history.txt
Analyze the ways in which the Protestant Reformation and the Catholic Reformationaffected the culture of Europe in the period 1500-1700.,LEQ,6,2015,ap15_frq_european_history.txt
Analyze the ways in which scientific and philosophical developments affectedreligion in Europe in the period 1600 to 1750.,LEQ,7,2015,ap15_frq_european_history.txt
Analyze the influence of ideas about gender on the reign of Elizabeth I and explain how Elizabeth responded to these ideas.,DBQ,1,2011,ap11_frq_european_history.txt
Analyze the factors that contributed to the increasing centralization of Spain and the factors that contributed to the continuing fragmentation of Italy in the period 1450–1550.,LEQ,2,2011,ap11_frq_european_history.txt
"Compare and contrast Enlightenment and Romantic views of nature, with reference to specific individuals and their works.",LEQ,3,2011,ap11_frq_european_history.txt
Analyze how the political and economic problems of the English and French monarchies led to the English Civil War and the French Revolution.,LEQ,4,2011,ap11_frq_european_history.txt
Analyze how industrialization and imperialism contributed to the development of consumer culture in the period 1850–1914.,LEQ,5,2011,ap11_frq_european_history.txt
Analyze the ways in which the policies of Joseph Stalin transformed the policies of Vladimir Lenin.,LEQ,6,2011,ap11_frq_european_history.txt
"Analyze the ways in which Western European nations have pursued European economic and political integration from 1945 to the present, referring to at least two nations.",LEQ,7,2011,ap11_frq_european_history.txt
"Identify the various assumptions about children in early modern Europe, and analyze how these assumptions affected child-rearing practices.",DBQ,1,2007,ap07_euro_hist_frq.txt
Analyze the impact of the rise of militarism and the Second World War on the lives of European women. In your answer consider the period 1930 to 1950.,LEQ,2,2007,ap07_euro_hist_frq.txt
"Considering the period 1953 to 1991, analyze the problems within the Soviet Union that contributed to the eventual collapse of the Soviet system.",LEQ,3,2007,ap07_euro_hist_frq.txt
Analyze the problems and opportunities associated with the rapid urbanization of western Europe in the nineteenth century.,LEQ,4,2007,ap07_euro_hist_frq.txt
Analyze the factors that prevented the development of a unified German state in the sixteenth and seventeenth centuries.,LEQ,5,2007,ap07_euro_hist_frq.txt
"Britain and France were engaged in a geopolitical and economic rivalry during the eighteenth century. Identify the factors that contributed to this rivalry, and assess the results for both countries over the period 1689 to 1789.",LEQ,6,2007,ap07_euro_hist_frq.txt
"Identify the grievances of the groups that made up the Third Estate in France on the eve of the French Revolution, and analyze the extent to which ONE of these groups was able to address its grievances in the period 1789 to 1799.",LEQ,7,2007,ap07_euro_hist_frq.txt
