question,question_type,question_number,year,question_url,exam_edition
Presidents are generally thought to have advantages over Congress in conducting foreign policy because of the formal and informal powers of the presidency. Identify two formal constitutional powers of the President in making foreign policy. Identify two formal constitutional powers of Congress in making foreign policy. Identify two informal powers of the President that contribute to the President’s advantage over Congress in conducting foreign policy. Explain how each of the informal powers identified in contributes to the President’s advantage over Congress in conducting foreign policy.,SAQ,1,2004,https://secure-media.collegeboard.org/apc/ap04_frq_gopo_us_36217.pdf, 
"Different interest groups will choose different techniques to achieve their objectives based on their resources, characteristics, and goals. Describe each of the following techniques and explain why an interest group would choose each technique. • Litigation • Campaign contributions • Grassroots lobbying/ mass mobilization",SAQ,2,2004,https://secure-media.collegeboard.org/apc/ap04_frq_gopo_us_36217.pdf, 
Minor parties (third parties) have been a common feature of United States politics. Describe the point of view expressed about minor parties in the political cartoon above. Identify and explain how two rules of the United States electoral system act as obstacles to minor-party candidates winning elections. Minor parties make important contributions to the United States political system in spite of the institutional obstacles to their candidates’ success. Describe two of these contributions.,SAQ,3,2004,https://secure-media.collegeboard.org/apc/ap04_frq_gopo_us_36217.pdf, 
Trust and confidence in government have declined in recent decades. Explain how divided government has contributed to the decline in trust and confidence in government. Be sure to include a definition of divided government in your response. Explain how the increased cost of election campaigns has contributed to the decline in trust and confidence in government. Explain two specific consequences of the decline in trust and confidence in government for individual political behavior.,SAQ,4,2004,https://secure-media.collegeboard.org/apc/ap04_frq_gopo_us_36217.pdf, 
"Presidential approval ratings fluctuate over the course of each presidential administration. Identify two factors that decrease presidential approval ratings, and explain why each factor has that effect. Identify two factors that increase presidential approval ratings, and explain why each factor has that effect.",SAQ,1,2003,https://secure-media.collegeboard.org/apc/ap03_frq_gopo_us_23120.pdf, 
Citizens often choose to participate in the political process in ways other than voting. Identify two forms of participation in the political process other than voting. Explain two advantages of each form of participation you identified in (a).,SAQ,2,2003,https://secure-media.collegeboard.org/apc/ap03_frq_gopo_us_23120.pdf, 
"Using the data in the graph above and your knowledge of United States politics, perform the following tasks. Identify two trends shown in the graph. Explain how each of the following contributes to the difference between the federal and the state and local lines in the graph. • Block grants • Federal mandates",SAQ,3,2003,https://secure-media.collegeboard.org/apc/ap03_frq_gopo_us_23120.pdf, 
Both party leadership and committees in Congress play key roles in the legislative process. Define two of the following elements of the congressional committee system and explain how each influences the legislative process. • Specialization • Reciprocity/logrolling • Party representation on committees,SAQ,4,2003,https://secure-media.collegeboard.org/apc/ap03_frq_gopo_us_23120.pdf, 
The concept of “divided government” in the United States means that one political party can control the executive branch while another controls the legislative branch. This poses problems for the President in making appointments to federal offices. Describe two problems that divided government poses for the President in making federal appointments. Identify and explain two ways Presidents try to overcome the problems described in (a).,SAQ,1,2002,https://secure-media.collegeboard.org/apc/govpol_us_frq_02_10392.pdf, 
"Using the information in the figure above and your knowledge of United States politics, complete the following tasks. Describe what the figure above demonstrates about the distribution of government benefits over time. Identify two politically relevant factors that have affected the changing distribution of government benefits between children and the elderly. Explain how each of the two factors identified in has affected the changing distribution of government benefits.",SAQ,2,2002,https://secure-media.collegeboard.org/apc/govpol_us_frq_02_10392.pdf, 
Political institutions can present both obstacles and opportunities to racial minority groups in their efforts to gain political influence. Identify one feature of one of the following and explain how that feature has presented obstacles to racial minority groups in their efforts to achieve political goals. • Federalism • The United States political party system • The United States electoral system,SAQ,3,2002,https://secure-media.collegeboard.org/apc/govpol_us_frq_02_10392.pdf, 
"In the last half of the twentieth century, voter turnout in federal elections has declined. During the same period, voter turnout has been higher in presidential elections than in midterm elections. Identify two factors that have contributed to the overall decline in turnout in federal elections and explain how each factor has contributed to the overall decline. Identify and explain two reasons why voter turnout has been higher in presidential elections than in midterm elections.",SAQ,4,2002,https://secure-media.collegeboard.org/apc/govpol_us_frq_02_10392.pdf, 
"The United States Constitution has endured for more than two centuries as the framework of government. However, the meaning of the Constitution has been changed both by formal and informal methods.Identify two formal methods for adding amendments to the Constitution.Describe two informal methods that have been used to change the meaning of the Constitution. Provide one specific example for each informal method you described.Explain why informal methods are used more often than the formal amendment process.",SAQ,1,2001,https://secure-media.collegeboard.org/apc/govpol_us_01.pdf, 
"The graph above shows reelection rates for incumbents in the House and Senate. From this information and your knowledge of United States politics, perform the following tasks.Identify two patterns displayed in the graph.Identify two factors that contribute to incumbency advantage. Explain how each factor contributes to incumbency advantage.Discuss one consequence of incumbency advantage for the United States political process.",SAQ,2,2001,https://secure-media.collegeboard.org/apc/govpol_us_01.pdf, 
"Many scholars and observers have argued that the ratification of the Fourteenth Amendment to the Constitution has become the single most important act in all of United States politics.Identify which provision of the Fourteenth Amendment was applied in one of the following Supreme Court cases. For the case you select, explain the significance of the decision in United States politics. • Brown v. Board of Education of Topeka, Kansas (1954) • Baker v. Carr (1962) • Regents of the University of California v. Bakke (1978)",SAQ,3,2001,https://secure-media.collegeboard.org/apc/govpol_us_01.pdf, 
Explain how each of the political factors listed below makes it difficult for the federal government to enact public policy. Provide one example for each explanation. • Divided government • Weak party discipline • Growth in the number of interest groups and political action committees (PAC’s),SAQ,4,2001,https://secure-media.collegeboard.org/apc/govpol_us_01.pdf, 
"The Constitution was an attempt to address problems of decentralization that were experienced under the Articles of Confederation. List three problems of decentralized power that existed under the Articles of Confederation. For each problem you listed, identify one solution that the Constitution provided to address the problem. Some have argued that the tensions between decentralized and centralized power continue to exist. Support this argument by explaining how one of the following illustrates the continuing tension. • Environmental policy • Gun control • Disability access",SAQ,1,2000,https://secure-media.collegeboard.org/apc/govpol_us_00.pdf, 
"The Supreme Court is commonly thought to be “above politics.” However, one can argue that the appointment of Supreme Court justices is political. Identify three characteristics of Supreme Court nominees and discuss how each characteristic has been politically relevant during the appointment process. Identify two methods that have been used by interest groups to influence the appointment process. Explain how each of these methods has been used to influence that process.",SAQ,2,2000,https://secure-media.collegeboard.org/apc/govpol_us_00.pdf, 
"The figure below displays voting patterns by state in the 1992 and 1996 presidential elections. Using the information in the figure and your knowledge of United States voting behavior, perform the following tasks. Using the map below, identify one of the numbered regions with strong support for the Democratic presidential candidate and identify and explain two factors that contribute to that support. Using the map below, identify one of the numbered regions with strong support for the Republican presidential candidate and identify and explain two factors that contribute to that support.",SAQ,3,2000,https://secure-media.collegeboard.org/apc/govpol_us_00.pdf, 
The three obstacles listed below have made it difficult for Congress to enact significant campaign finance reform. • Buckley v. Valeo (1976) • Soft money • Incumbency,SAQ,4,2000,https://secure-media.collegeboard.org/apc/govpol_us_00.pdf, 
